domain	canonical_variable	description	planned_role	wave_variable_pattern_or_formula	available_waves	available_wave_labels	notes
identifier	ID	개인식별자	linkage	A00_ID	1	Baseline (2001–2002)	Baseline fixed identifier; repeated tables should link by ID
identifier	DATA_CLASS	조사단위(10=안성,20=안산)	site	A00_DATA_CLASS	1	Baseline (2001–2002)	Baseline fixed site
visit	VISIT	차수별 참여 여부	eligibility	A{wave:02d}_VISIT	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	0=미참여, 1=참여
time	EDATE	조사일(YYYYMM)	time	A{wave:02d}_EDATE	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Use actual survey date when available
demographic	AGE	만 나이	covariate	A{wave:02d}_AGE	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
demographic	SEX	성별	covariate	A00_SEX	1	Baseline (2001–2002)	1=남자, 2=여자
anthropometry	HEIGHT	신장(cm)	derived_BMI	A{wave:02d}_HEIGHT	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
anthropometry	WEIGHT	체중(kg)	derived_BMI	A{wave:02d}_WEIGHT	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
anthropometry	BMI_DERIVED	BMI (derived)	secondary/adiposity	WEIGHT/(HEIGHT/100)^2	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	No exact integrated BMI variable found; derive
metabolic_core	WAIST	허리둘레 평균(cm)	primary_MetS+MBI	A{wave:02d}_WAIST	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated across all 11 waves in codebook
